accuracy,precision,recall
0.9473684210526315,0.9375,0.967741935483871
0.8947368421052632,0.8888888888888888,0.8888888888888888
0.8771929824561403,0.8,1.0
0.9298245614035088,0.875,1.0
0.9122807017543859,0.875,0.9655172413793104
0.9649122807017544,0.9354838709677419,1.0
0.9824561403508771,0.96,1.0
0.9649122807017544,1.0,0.9310344827586207
0.9298245614035088,0.8888888888888888,1.0
0.9824561403508771,0.9666666666666667,1.0
0.9649122807017544,0.9354838709677419,1.0
0.9473684210526315,1.0,0.8846153846153846
0.8771929824561403,0.75,1.0
0.9473684210526315,0.9142857142857143,1.0
0.8947368421052632,0.9,0.9
0.9824561403508771,0.9629629629629629,1.0
0.43859649122807015,0.46153846153846156,0.4
0.9824561403508771,0.9642857142857143,1.0
0.9473684210526315,0.96875,0.9393939393939394
0.9298245614035088,0.8888888888888888,1.0
0.543859649122807,0.625,0.3333333333333333
0.9473684210526315,1.0,0.875
0.9473684210526315,0.9642857142857143,0.9310344827586207
0.7719298245614035,0.7111111111111111,1.0
0.8421052631578947,1.0,0.6666666666666666
0.7192982456140351,0.6129032258064516,0.8260869565217391
0.8596491228070176,0.7894736842105263,1.0
0.9473684210526315,0.9428571428571428,0.9705882352941176
0.49122807017543857,0.25,0.08
0.45614035087719296,0.36363636363636365,0.14285714285714285
0.5964912280701754,0.6,0.24
0.49122807017543857,0.47368421052631576,0.32142857142857145
0.9649122807017544,0.9259259259259259,1.0
1.0,1.0,1.0
0.9298245614035088,0.8695652173913043,0.9523809523809523
0.9122807017543859,0.9696969696969697,0.8888888888888888
0.45614035087719296,0.48936170212765956,0.7666666666666667
0.9473684210526315,0.9428571428571428,0.9705882352941176
0.43859649122807015,0.6521739130434783,0.38461538461538464
0.5614035087719298,0.6875,0.3548387096774194
0.47368421052631576,0.3142857142857143,0.6470588235294118
0.45614035087719296,0.35135135135135137,0.65
0.40350877192982454,0.36585365853658536,0.6521739130434783
0.631578947368421,0.6666666666666666,0.6451612903225806
0.7719298245614035,0.7333333333333333,0.8148148148148148
0.9298245614035088,0.9285714285714286,0.9285714285714286
0.5263157894736842,0.5471698113207547,0.90625
0.6140350877192983,0.6571428571428571,0.696969696969697
0.8928571428571429,0.8484848484848485,0.9655172413793104
0.5357142857142857,0.6153846153846154,0.5
