accuracy,precision,recall
0.90625,0.475,0.31666666666666665
0.953125,0.9696969696969697,0.9428571428571428
0.9921875,1.0,0.984375
0.9921875,1.0,0.9838709677419355
0.96875,0.5,0.4444444444444444
0.6640625,0.6847826086956521,0.8571428571428572
0.96875,0.9545454545454546,0.9838709677419355
0.8359375,0.9545454545454546,0.6666666666666666
0.9453125,0.9655172413793103,0.921875
0.9453125,0.9642857142857143,0.9193548387096775
0.96875,1.0,0.9393939393939394
0.9765625,0.9807692307692308,0.962962962962963
0.9296875,0.46,0.38333333333333336
0.625,0.45454545454545453,0.2
0.7265625,0.7094594594594594,1.0
0.515625,0.5161290322580645,0.9852941176470589
0.6953125,0.46551724137931033,0.421875
0.953125,1.0,0.896551724137931
0.9609375,0.98,0.9285714285714286
0.9921875,0.9791666666666667,1.0
0.6796875,0.9375,0.6742424242424243
0.984375,0.9642857142857143,1.0
0.9375,0.9166666666666667,0.96875
0.6953125,0.4482758620689655,0.43333333333333335
0.953125,0.9807692307692308,0.9166666666666667
0.6640625,0.6858974358974359,0.925
0.46875,0.1896551724137931,0.5
0.203125,0.20689655172413793,0.42857142857142855
0.5,0.49603174603174605,1.0
0.25,0.25,0.5
0.2890625,0.5,0.11428571428571428
0.84375,0.8300000000000001,0.9583333333333333
0.453125,0.453125,1.0
0.2578125,0.2540983606557377,0.484375
0.53125,0.5357142857142857,0.9864864864864865
0.5,0.5,0.96875
0.484375,0.475,0.9821428571428572
0.8984375,0.47368421052631576,0.3
0.75,0.7542372881355932,0.9545454545454546
0.9765625,1.0,0.9545454545454546
0.2578125,0.2627118644067797,0.45588235294117646
0.96875,0.9558823529411764,0.984375
0.53125,0.5049019607843137,0.9482758620689655
0.2578125,0.25833333333333336,0.4696969696969697
0.234375,0.25,0.38235294117647056
0.921875,0.4838709677419355,0.38461538461538464
0.6796875,0.6785714285714286,0.7586206896551724
0.984375,0.484375,0.484375
0.96875,0.43548387096774194,0.5
0.75,0.75,1.0
